,time,La,Lo,Dep,Mw,Location
182,2020-11-04 20:58:22.290,37.7076,26.4979,14.0,2.8,32.3 km ENE of Ikaria
183,2020-11-04 23:14:59.220,37.859,27.2588,8.0,3.4,27.2 km ENE of Samos
184,2020-11-04 23:42:13.720,37.8853,26.4613,1.0,3.4,42.4 km NE of Ikaria
185,2020-11-04 23:56:51.490,37.818,26.9117,9.0,2.1,8.9 km NW of Samos
186,2020-11-05 01:47:32.320,37.8453,26.7993,12.0,3.3,18.4 km WNW of Samos
187,2020-11-05 02:42:34.430,37.8253,26.4582,11.0,2.4,37.2 km NE of Ikaria
188,2020-11-05 03:14:01.400,37.8995,26.8885,6.0,2.1,17.6 km NNW of Samos
189,2020-11-05 03:25:41.140,37.8128,26.8473,18.0,3.3,13.0 km WNW of Samos
190,2020-11-05 06:47:02.790,37.8405,26.4713,3.0,3.3,39.2 km NE of Ikaria
191,2020-11-05 08:25:47.810,37.857,26.5948,11.0,2.8,35.4 km WNW of Samos
192,2020-11-05 12:02:28.520,37.761,26.8728,11.0,3.1,9.2 km W of Samos
193,2020-11-05 12:40:09.120,37.8663,27.2742,1.0,3.6,28.8 km ENE of Samos
194,2020-11-05 12:42:50.000,37.8725,26.8427,9.0,2.4,17.4 km NW of Samos
195,2020-11-05 13:10:30.640,37.782,26.8818,6.0,2.9,8.8 km WNW of Samos
196,2020-11-05 16:16:30.960,37.8117,26.4305,10.0,2.8,34.4 km NE of Ikaria
197,2020-11-05 17:55:22.420,37.7777,26.8863,21.0,3.2,8.3 km WNW of Samos
198,2020-11-05 22:19:40.940,37.791,26.785,12.0,3.7,17.3 km WNW of Samos
